source,target
ARRB2,MAP1B
ARRB2,UBR5
ARRB2,HNRNPF
ARRB2,EIF4B
ARRB2,MYC
ARRB2,YBX1
ARRB2,KLHL12
ARRB2,KBTBD8
ARRB2,HNRNPD
ARRB2,POLR2E
ARRB2,PTGES3
ARRB2,SF3B2
ARRB2,TMOD3
ARRB2,MAPK10
ARRB2,HNRNPR
ARRB2,NAA10
ARRB2,HNRNPA0
ARRB2,HSPA6
ARRB2,MAP2K1
ARRB2,CUL3
ARRB2,HNRNPH2
ARRB2,ITCH
ARRB2,HIST1H2BO
ARRB2,RPL7
ARRB2,PTAFR
ARRB2,HSPA1L
ARRB2,ATG16L1
ARRB2,DHX15
ARRB2,NEDD4
ARRB2,HNRNPL
ARRB2,XPO1
ARRB2,DDX5
ARRB2,SRRM2
ARRB2,NONO
ARRB2,CHUK
ARRB2,SFPQ
ARRB2,HNRNPH1
ARRB2,SF3B1
ARRB2,M6PR
ARRB2,CFTR
ARRB2,DVL2
ARRB2,PPP2R5B
ARRB2,PPP2CB
ARRB2,NFKB1
ARRB2,GLI1
ARRB2,MAPK14
ARRB2,SMO
ARRB2,KRAS
ARRB2,SYT1
ARRB2,PPP2R5A
ARRB2,PPP2R3C
ARRB2,PACSIN2
ARRB2,PPP2R3A
ARRB2,EGF
ARRB2,RAB5A
ARRB2,NOTCH1
ARRB2,GNAQ
ARRB2,BRAF
ARRB2,CCR5
ARRB2,CD3D
ARRB2,IL7R
ARRB2,CXCL8
ARRB2,PPP2R1B
ARRB2,SNX18
ARRB2,SH3GL3
ARRB2,FZD2
ARRB2,PPP2R2A
ARRB2,PPP2R2C
ARRB2,PPP2R5E
ARRB2,TRIM24
ARRB2,UBQLN2
ARRB2,ATG7
ARRB2,FYN
ARRB2,FN1
ARRB2,ITSN2
ARRB2,QKI
ARRB2,LMNA
ARRB2,NRAS
ARRB2,SUFU
ARRB2,DNAJC6
ARRB2,EPS15
ARRB2,DNM1
ARRB2,CXCR3
ARRB2,FGR
ARRB2,LDLRAP1
ARRB2,CCP110
ARRB2,PPP2R3B
ARRB2,SNX9
ARRB2,BCL2L11
ARRB2,PPP2R2B
ARRB2,GLI3
ARRB2,KSR1
ARRB2,RELA
ARRB2,GLI2
ARRB2,PPP2R2D
ARRB2,SNAP91
ARRB2,MARK3
ARRB2,PPP2R5D
ARRB2,CSNK1A1
ARRB2,PPP2CA
ARRB2,CD3G
ARRB2,HRAS
ARRB2,PPP2R5C
ARRB2,LYN
ARRB2,FNBP1
ARRB2,HCK
GRB2,RUVBL1
GRB2,IRF5
GRB2,VCAM1
GRB2,VAV2
GRB2,HSPA9
GRB2,VPS37B
GRB2,ZAP70
GRB2,RECQL4
GRB2,SH3PXD2B
GRB2,LNX1
GRB2,MUC1
GRB2,SMU1
GRB2,HDAC4
GRB2,HSPA1L
GRB2,MAP3K1
GRB2,HSPA5
GRB2,KPNA2
GRB2,SOCS1
GRB2,PSMD13
GRB2,KIT
GRB2,MAP2
